"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"GPT Infraprojects Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155939_422699_06042021032127_WEB.xml"
"Orient Paper & Industries Limited","38.74","61.26",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155941_422716_06042021032719_WEB.xml"
"Capacit'e Infraprojects Limited","43.79","56.21",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155942_422722_06042021032914_WEB.xml"
"SJVN Limited","86.77","13.23",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155944_422753_06042021034008_WEB.xml"
"Astron Paper & Board Mill Limited","45.93","54.07",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155946_422793_06042021034818_WEB.xml"
"Bigbloc Construction Limited","70.81","29.19",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155947_422801_06042021035342_WEB.xml"
"Gujarat Ambuja Exports Limited","63.84","36.16",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155949_422811_06042021035812_WEB.xml"
"ABM International Limited","74.7","25.3",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155950_422814_06042021035932_WEB.xml"
"Khaitan Chemicals & Fertilizers Limited","74.99","25.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155955_422860_06042021042040_WEB.xml"
"Shree Renuka Sugars Limited","62.48","37.52",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155956_422865_06042021042125_WEB.xml"
"Bajaj Finance Limited","56.12","43.71",,"0.17","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155962_422903_06042021044816_WEB.xml"
"Taj GVK Hotels & Resorts Limited","74.99","25.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155963_422923_06042021045204_WEB.xml"
"KEI Industries Limited","40.34","59.66",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155966_422944_06042021050129_WEB.xml"
"Sanghvi Forging and Engineering Limited","61.06","38.94",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155968_422962_06042021050520_WEB.xml"
"Orient Refractories Limited","66.49","33.51",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155969_422965_06042021050536_WEB.xml"
"Venus Remedies Limited","35.89","64.11",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155971_422975_06042021051154_WEB.xml"
"Kanpur Plastipack Limited","72.31","27.69",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155972_422997_06042021052518_WEB.xml"
"Advani Hotels & Resorts (India) Limited","50.17","49.83",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155978_423059_06042021054843_WEB.xml"
"NACL Industries Limited","63.88","36.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155979_423061_06042021054902_WEB.xml"
"Laurus Labs Limited","27.45","72.55",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155980_423065_06042021055050_WEB.xml"
"Indoco Remedies Limited","58.69","41.31",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155981_423074_06042021055517_WEB.xml"
"Cupid Limited","45.06","54.94",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155982_423077_06042021055544_WEB.xml"
"Gujarat Gas Limited","60.89","39.11",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155983_423079_06042021055553_WEB.xml"
"Madhav Copper Limited","66.32","33.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155989_423149_06042021062610_WEB.xml"
"Osia Hyper Retail Limited","62.99","37.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155990_423177_06042021063314_WEB.xml"
"Huhtamaki India Limited","67.73","32.27",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155994_423246_06042021072509_WEB.xml"
"Future Market Networks Limited","71.57","28.43",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155996_423253_06042021073640_WEB.xml"
"Vascon Engineers Limited","35.72","64.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155998_423259_06042021074434_WEB.xml"
"Soma Textiles & Industries Limited","63.68","36.32",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156000_423279_06042021081138_WEB.xml"
"Aarti Drugs Limited","60.2","39.8",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156001_423290_06042021082942_WEB.xml"
"SKM Egg Products Export (India) Limited","55.09","44.91",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156002_423338_07042021094035_WEB.xml"
"Panama Petrochem Limited","71.7","28.3",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156003_423344_07042021094719_WEB.xml"
"Gangotri Textiles Limited","24.53","75.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156004_423346_07042021094859_WEB.xml"
"Amber Enterprises India Limited","40.27","59.73",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156005_423355_07042021101107_WEB.xml"
"Sintex Industries Limited","4.54","95.46",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156006_423359_07042021101800_WEB.xml"
"Hind Rectifiers Limited","42.25","57.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156009_423380_07042021103922_WEB.xml"
"Royal Orchid Hotels Limited","69.42","30.58",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156010_423382_07042021104139_WEB.xml"
