"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","BROADCAST DATE"
"The South Indian Bank Limited","2092741018","0","     0.00","2092741018","0",,"     0.00","09-Apr-2021 11:30:18","171071903","2018913204","8.47","09-Apr-2021 11:30:18"
"The State Trading Corporation of India Limited","60000000","54000000","    90.00","6000000","0","     0.00","     0.00","09-Apr-2021 11:30:18","449947","59992022","0.75","09-Apr-2021 11:30:18"
"The Tinplate Company of India Limited","104667638","78457640","    74.96","26209998","0","     0.00","     0.00","09-Apr-2021 11:30:02","2531933","103883759","2.44","09-Apr-2021 11:30:02"
"The Ugar Sugar Works Limited","112500000","50882086","    45.23","61617914","0","     0.00","     0.00","09-Apr-2021 11:30:31","2704478","94230866","2.87","09-Apr-2021 11:30:31"
"The United Nilgiri Tea Estates Company Limited","4996566","2487982","    49.79","2508584","0","     0.00","     0.00","09-Apr-2021 11:30:30","8326","4390994","0.19","09-Apr-2021 11:30:30"
"The Western India Plywoods Limited","8487340","3478121","    40.98","5009219","349760","    10.06","     4.12","09-Apr-2021 11:30:34","123000","4389573","2.8","09-Apr-2021 11:30:34"
"Themis Medicare Limited","9188454","6180399","    67.26","3008055","0","     0.00","     0.00","09-Apr-2021 11:30:26","96681","9053646","1.07","09-Apr-2021 11:30:26"
"Thermax Limited","119156300","80396745","    67.47","38759555","0","     0.00","     0.00","09-Apr-2021 11:30:02","183657","118926390","0.15","09-Apr-2021 11:30:02"
"Thiru Arooran Sugars Limited","11316724","6661939","    58.87","4654785","4425674","    66.43","    39.11","09-Apr-2021 11:30:15","4588889","10998829","41.72","09-Apr-2021 11:30:15"
"Thirumalai Chemicals Limited","102388120","42856321","    41.86","59531799","0","     0.00","     0.00","09-Apr-2021 11:30:09","5151258","100757470","5.11","09-Apr-2021 11:30:09"
"Thomas Cook  (India)  Limited","378275489","255509847","    67.55","122765642","0","     0.00","     0.00","09-Apr-2021 11:30:10","6150085","376041948","1.64","09-Apr-2021 11:30:10"
"Thomas Scott (India) Limited","3390000","2306195","    68.03","1083805","0","     0.00","     0.00","09-Apr-2021 11:30:32","6495","3332132","0.19","09-Apr-2021 11:30:32"
"Tide Water Oil Company (India) Limited","3484800","2081884","    59.74","1402916","0","     0.00","     0.00","09-Apr-2021 11:30:25","91675","3471926","2.64","09-Apr-2021 11:30:25"
"Tijaria Polypipes Limited","28626579","18626172","    65.07","10000407","7087974","    38.05","    24.76","09-Apr-2021 11:30:32","10477975","28626559","36.6","09-Apr-2021 11:30:32"
"Tilaknagar Industries Limited","125283603","68571668","    54.73","56711935","62550000","    91.22","    49.93","09-Apr-2021 11:30:30","65997469","124379455","53.06","09-Apr-2021 11:30:30"
"Time Technoplast Limited","226146750","116088694","    51.33","110058056","27225000","    23.45","    12.04","09-Apr-2021 11:30:27","13617216","226141830","6.02","09-Apr-2021 11:30:27"
"Times Guaranty Limited","8993149","6737399","    74.92","2255750","0","     0.00","     0.00","09-Apr-2021 11:30:20","22009","8067007","0.27","09-Apr-2021 11:30:20"
"Timken India Limited","75218734","50999988","    67.80","24218746","0","     0.00","     0.00","09-Apr-2021 11:30:15","898406","74007681","1.21","09-Apr-2021 11:30:15"
"Tirupati Forge Limited","11200000","6499680","    58.03","4700320","3096000","    47.63","    27.64","09-Apr-2021 11:30:35","3096406","11200000","27.65","09-Apr-2021 11:30:35"
"Titagarh Wagons Limited","119326639","52853560","    44.29","66473079","0","     0.00","     0.00","09-Apr-2021 11:30:29","6274153","119150740","5.27","09-Apr-2021 11:30:29"
"Titan Company Limited","887786160","469601920","    52.90","418184240","0","     0.00","     0.00","09-Apr-2021 11:30:06","47196565","878279382","5.37","09-Apr-2021 11:30:06"
"Tokyo Plast International Limited","9501400","6173423","    64.97","3327977","0","     0.00","     0.00","09-Apr-2021 11:30:11","114634","8722350","1.31","09-Apr-2021 11:30:11"
"Torrent Pharmaceuticals Limited","169222720","120564720","    71.25","48658000","0","     0.00","     0.00","09-Apr-2021 11:30:08","472994","168764650","0.28","09-Apr-2021 11:30:08"
"Torrent Power Limited","480616784","257443318","    53.57","223173466","0","     0.00","     0.00","09-Apr-2021 11:30:25","1633155","468509310","0.35","09-Apr-2021 11:30:25"
"Tourism Finance Corporation of India Limited","80716748","21991903","    27.25","58724845","0","     0.00","     0.00","09-Apr-2021 11:30:13","11481356","79446764","14.45","09-Apr-2021 11:30:13"
"Transformers And Rectifiers (India) Limited","132564110","99299150","    74.91","33264960","22100000","    22.26","    16.67","09-Apr-2021 11:30:28","23811371","132564030","17.96","09-Apr-2021 11:30:28"
"Transport Corporation of India Limited","76996400","51429393","    66.79","25567007","0","     0.00","     0.00","09-Apr-2021 11:30:20","448574","75733755","0.59","09-Apr-2021 11:30:20"
"Transwarranty Finance Limited","24460568","13114927","    53.62","11345641",,,,"09-Apr-2021 11:30:26","58281","24427825","0.24","09-Apr-2021 11:30:26"
"Tree House Education & Accessories Limited","42310724","8690069","    20.54","33620655","8642169","    99.45","    20.43","09-Apr-2021 11:30:32","9591476","42300720","22.67","09-Apr-2021 11:30:32"
"Trent Limited","355487461","131550881","    37.01","223936580","0","     0.00","     0.00","09-Apr-2021 11:30:04","5141069","351949327","1.46","09-Apr-2021 11:30:04"
"Trident Limited","5095955670","3821128805","    74.98","1274826865","0","     0.00","     0.00","09-Apr-2021 11:30:20","64886101","5071663580","1.28","09-Apr-2021 11:30:20"
"Trigyn Technologies Limited","30785736","13701877","    44.51","17083859","0","     0.00","     0.00","09-Apr-2021 11:30:18","905968","30708067","2.95","09-Apr-2021 11:30:18"
"Triveni Engineering & Industries Limited","241755110","165439263","    68.43","76315847","0","     0.00","     0.00","09-Apr-2021 11:30:23","9510812","241640345","3.94","09-Apr-2021 11:30:23"
"Triveni Turbine Limited","323305484","219142811","    67.78","104162673","0","     0.00","     0.00","09-Apr-2021 11:30:32","972443","323218683","0.3","09-Apr-2021 11:30:32"
"Tube Investments of India Limited","192749860","89976189","    46.68","102773671","33200","     0.04","     0.02","09-Apr-2021 11:30:35","798446","191692195","0.42","09-Apr-2021 11:30:35"
"Tulsi Extrusions Limited","27494610","7114286","    25.88","20380324","3400000","    47.79","    12.37","09-Apr-2021 11:30:28","3621445","27493487","13.17","09-Apr-2021 11:30:28"
"UCO Bank","9918340622","9367292970","    94.44","551047652","0","     0.00","     0.00","09-Apr-2021 11:30:21","32185226","9907924585","0.32","09-Apr-2021 11:30:21"
"UFLEX Limited","72211486","31784239","    44.02","40427247","0","     0.00","     0.00","09-Apr-2021 11:30:10","1655956","71800161","2.31","09-Apr-2021 11:30:10"
"UFO Moviez India Limited","28350801","8668540","    30.58","19682261","2266417","    26.15","     7.99","09-Apr-2021 11:30:34","3704139","28329728","13.08","09-Apr-2021 11:30:34"
"UPL Limited","764045456","212813673","    27.85","551231783","0","     0.00","     0.00","09-Apr-2021 11:30:21","5548909","757840465","0.73","09-Apr-2021 11:30:21"
"Ucal Fuel Systems Limited","22113625","15553260","    70.33","6560365","1326000","     8.53","     6.00","09-Apr-2021 11:30:11","1907748","21995668","8.67","09-Apr-2021 11:30:11"
"Ujaas Energy Limited","200290000","25148","     0.01","200264852","0","     0.00","     0.00","09-Apr-2021 11:30:32","8254534","200289880","4.12","09-Apr-2021 11:30:32"
"UltraTech Cement Limited","288636906","173291484","    60.04","115345422","0","     0.00","     0.00","09-Apr-2021 11:30:21","699162","285208551","0.25","09-Apr-2021 11:30:21"
"Unichem Laboratories Limited","70405750","35861015","    50.93","34544735","0","     0.00","     0.00","09-Apr-2021 11:30:09","1213026","68386135","1.77","09-Apr-2021 11:30:09"
"Union Bank of India","6406844355","5706660850","    89.07","700183505","0","     0.00","     0.00","09-Apr-2021 11:30:20","36513826","6390528266","0.57","09-Apr-2021 11:30:20"
"Uniphos Enterprises Limited","69545849","50164195","    72.13","19381654","0","     0.00","     0.00","09-Apr-2021 11:30:21","303987","69027532","0.44","09-Apr-2021 11:30:21"
"Uniply Industries Limited","167647400","14815460","     8.84","152831940","3218475","    21.72","     1.92","09-Apr-2021 11:30:26","7028208","165209465","4.25","09-Apr-2021 11:30:26"
"Unitech Limited","2616301047","134257674","     5.13","2482043373","5001000","     3.72","     0.19","09-Apr-2021 11:30:09","95315007","2604280103","3.66","09-Apr-2021 11:30:09"
"United Breweries Limited","264405149","152616785","    57.72","111788364","27781574","    18.20","    10.51","09-Apr-2021 11:30:29","29070179","263029743","11.05","09-Apr-2021 11:30:29"
"United Drilling Tools Limited","20303126","15155460","    74.65","5147666","600000","     3.96","     2.96","09-Apr-2021 11:30:35","171496","19258411","0.89","09-Apr-2021 11:30:35"
"United Spirits Limited","726638715","412410600","    56.76","314228115","4897335","     1.19","     0.67","09-Apr-2021 11:30:20","39309952","722546100","5.44","09-Apr-2021 11:30:20"
"Unity Infraprojects Limited","120876802","72885284","    60.30","47991518","72863784","    99.97","    60.28","09-Apr-2021 11:30:24","74316349","120865546","61.49","09-Apr-2021 11:30:24"
"Universal Cables Limited","34695381","21472949","    61.89","13222432","0","     0.00","     0.00","09-Apr-2021 11:30:11","959480","34283714","2.8","09-Apr-2021 11:30:11"
"Usha Martin Education & Solutions Limited","26415811","11328540","    42.89","15087271",,,,"09-Apr-2021 11:30:30","361218","25832659","1.4","09-Apr-2021 11:30:30"
"Usha Martin Limited","304742010","160076969","    52.53","144665041","79232864","    49.50","    26.00","09-Apr-2021 11:30:19","95389403","303748760","31.4","09-Apr-2021 11:30:19"
"Uttam Galva Steels Limited","142260103","86331124","    60.69","55928979","0","     0.00","     0.00","09-Apr-2021 11:30:08","3387989","140882575","2.4","09-Apr-2021 11:30:08"
"Uttam Sugar Mills Limited","38138120","28603585","    75.00","9534535","9484170","    33.16","    24.87","09-Apr-2021 11:30:24","9839591","37757125","26.06","09-Apr-2021 11:30:24"
"V-Mart Retail Limited","18175531","9196622","    50.60","8978909","0","     0.00","     0.00","09-Apr-2021 11:30:33","60968","19706041","0.31","09-Apr-2021 11:30:33"
"V.S.T Tillers Tractors Limited","8639528","4731790","    54.77","3907738","0","     0.00","     0.00","09-Apr-2021 11:30:32","168931","8521195","1.98","09-Apr-2021 11:30:32"
"V2 Retail Limited","34105026","18417837","    54.00","15687189","0","     0.00","     0.00","09-Apr-2021 11:30:27","2538593","34034936","7.46","09-Apr-2021 11:30:27"
"VA Tech Wabag Limited","62190428","13495522","    21.70","48694906","0","     0.00","     0.00","09-Apr-2021 11:30:31","5018090","62187662","8.07","09-Apr-2021 11:30:31"
"VIP Clothing Limited","82596519","43778373","    53.00","38818146","0","     0.00","     0.00","09-Apr-2021 11:30:18","5492014","81658213","6.73","09-Apr-2021 11:30:18"
"VIP Industries Limited","141317315","75544637","    53.46","65772678","0","     0.00","     0.00","09-Apr-2021 11:30:08","4308246","138599381","3.11","09-Apr-2021 11:30:08"
"VLS Finance Limited","38662017","17650491","    45.65","21011526",,,,"09-Apr-2021 11:30:08","1136636","35834073","3.17","09-Apr-2021 11:30:08"
"VRL Logistics Limited","90343495","61480000","    68.05","28863495","0","     0.00","     0.00","09-Apr-2021 11:30:34","633093","88343439","0.72","09-Apr-2021 11:30:34"
"VST Industries Limited","15441920","4965902","    32.16","10476018","0","     0.00","     0.00","09-Apr-2021 11:30:10","243078","15108056","1.61","09-Apr-2021 11:30:10"
"Vadilal Industries Limited","7187830","4652156","    64.72","2535674","0","     0.00","     0.00","09-Apr-2021 11:30:32","613787","7015376","8.75","09-Apr-2021 11:30:32"
"Vaibhav Global Limited","32509590","18988036","    58.41","13521554","0","     0.00","     0.00","09-Apr-2021 11:30:21","257508","32516395","0.79","09-Apr-2021 11:30:21"
"Vakrangee Limited","1059405640","451353165","    42.60","608052475","0","     0.00","     0.00","09-Apr-2021 11:30:24","134213202","1058004616","12.69","09-Apr-2021 11:30:24"
"Valecha Engineering Limited","22530025","4076676","    18.09","18453349","1211539","    29.72","     5.38","09-Apr-2021 11:30:24","584174","22234280","2.63","09-Apr-2021 11:30:24"
"Value Industries Limited","39185675","18322416","    46.76","20863259","0","     0.00","     0.00","09-Apr-2021 11:30:06","286800","34969104","0.82","09-Apr-2021 11:30:06"
"Vardhman Acrylics Limited","80363746","60249160","    74.97","20114586","0","     0.00","     0.00","09-Apr-2021 11:30:21","790298","80362326","0.98","09-Apr-2021 11:30:21"
"Vardhman Holdings Limited","3191536","2390441","    74.90","801095","0","     0.00","     0.00","09-Apr-2021 11:30:23","125112","3143937","3.98","09-Apr-2021 11:30:23"
"Vardhman Polytex Limited","22290957","13414652","    60.18","8876305","10931202","    81.49","    49.04","09-Apr-2021 11:30:14","11148197","21972677","50.74","09-Apr-2021 11:30:14"
"Vardhman Special Steels Limited","40394502","24149400","    59.78","16245102","0","     0.00","     0.00","09-Apr-2021 11:30:33","895651","40319986","2.22","09-Apr-2021 11:30:33"
"Vardhman Textiles Limited","57518760","36141467","    62.83","21377293","0","     0.00","     0.00","09-Apr-2021 11:30:08","773918","56943238","1.36","09-Apr-2021 11:30:08"
"Varun Beverages Limited","288688720","191691041","    66.40","96997679","0","     0.00","     0.00","09-Apr-2021 11:30:34","3502367","288688429","1.21","09-Apr-2021 11:30:34"
"Vascon Engineers Limited","182136716","65057079","    35.72","117079637","16130672","    24.79","     8.86","09-Apr-2021 11:30:30","20816445","182136714","11.43","09-Apr-2021 11:30:30"
"Vaswani Industries Limited","30000000","17500000","    58.33","12500000","0","     0.00","     0.00","09-Apr-2021 11:30:32","694243","29999980","2.31","09-Apr-2021 11:30:32"
"Vedanta Limited","3717196639","2061223923","    55.45","1655972716","2048458132","    99.38","    55.11","09-Apr-2021 11:30:07","46105076","3707826094","1.24","09-Apr-2021 11:30:07"
"Venky's (India) Limited","14087336","7903966","    56.11","6183370","0","     0.00","     0.00","09-Apr-2021 11:30:13","679815","13649928","4.98","09-Apr-2021 11:30:13"
"Venus Remedies Limited","12341988","4430050","    35.89","7911938","830000","    18.74","     6.73","09-Apr-2021 11:30:25","1933573","12202650","15.85","09-Apr-2021 11:30:25"
"Vesuvius India Limited","20296080","11277650","    55.57","9018430","0","     0.00","     0.00","09-Apr-2021 11:30:13","178339","20059018","0.89","09-Apr-2021 11:30:13"
"Viceroy Hotels Limited","42405224","8057091","    19.00","34348133","5432707","    67.43","    12.81","09-Apr-2021 11:30:27","2047056","41041348","4.99","09-Apr-2021 11:30:27"
"Videocon Industries Limited","334458875","135759665","    40.59","198699210","133264547","    98.16","    39.84","09-Apr-2021 11:30:10","136583420","332819832","41.04","09-Apr-2021 11:30:10"
"Viji Finance Limited","82500000","43090474","    52.23","39409526","3012000","     6.99","     3.65","09-Apr-2021 11:30:34","640551","81319300","0.79","09-Apr-2021 11:30:34"
